"GIUDIZIO","GENERE","NAZIONE","ANNO","DURATA","VISIBILITÀ"
2,"AZI","USA",91,90,"GEN"
1,"COM","USA",78,88,"GEN"
2,"DRA","USA",80,99,"ADU"
3,"COM","USA",88,98,"GEN"
3,"AZI","USA",93,109,"GEN"
2,"COM","USA",56,108,"TUT"
4,"DRA","USA",40,129,"GEN"
2,"COM","USA",86,100,"GEN"
2,"AZI","USA",72,105,"GEN"
3,"COM","USA",89,123,"GEN"
1,"AZI","USA",93,97,"ADU"
2,"COM","USA",65,118,"GEN"
2,"DRA","USA",52,117,"TUT"
2,"COM","USA",87,100,"TUT"
2,"DRA","USA",86,105,"GEN"
2,"COM","USA",78,112,"TUT"
1,"DRA","USA",90,98,"ADU"
1,"COM","USA",80,100,"GEN"
3,"ERO","USA",75,121,"ADU"
2,"COM","USA",44,101,"GEN"
1,"AZI","USA",95,88,"ADU"
1,"DRA","USA",93,120,"GEN"
1,"ERO","USA",89,110,"ADU"
2,"DRA","USA",92,100,"ADU"
2,"FAN","USA",89,110,"TUT"
1,"COM","USA",85,84,"GEN"
2,"AZI","USA",88,86,"ADU"
3,"COM","USA",88,100,"GEN"
2,"FAN","USA",85,109,"TUT"
2,"DRA","USA",56,97,"GEN"
3,"FAN","USA",91,140,"GEN"
3,"DRA","USA",88,116,"GEN"
2,"FAN","USA",80,127,"TUT"
3,"DRA","USA",73,105,"ADU"
3,"FAN","USA",88,100,"TUT"
3,"COM","USA",40,95,"GEN"
2,"AZI","USA",82,137,"GEN"
3,"COM","USA",55,101,"GEN"
1,"FAN","USA",74,78,"GEN"
3,"DRA","USA",41,107,"ADU"
2,"FAN","USA",89,91,"ADU"
3,"DRA","USA",85,98,"ADU"
2,"FAN","USA",92,105,"GEN"
3,"DRA","USA",91,90,"GEN"
3,"FAN","USA",92,98,"TUT"
3,"COM","USA",91,85,"GEN"
1,"FAN","USA",92,105,"ADU"
2,"COM","USA",92,101,"GEN"
2,"FAN","USA",92,102,"GEN"
3,"COM","USA",52,97,"GEN"
4,"FAN","USA",33,103,"GEN"
3,"DRA","USA",56,93,"GEN"
1,"FAN","USA",90,95,"TUT"
3,"DRA","USA",85,124,"GEN"
2,"FAN","USA",90,118,"ADU"
3,"DRA","USA",78,145,"GEN"
2,"FAN","USA",85,84,"TUT"
2,"DRA","USA",80,98,"ADU"
2,"FAN","USA",48,99,"TUT"
1,"DRA","USA",79,123,"GEN"
2,"GAN","USA",59,91,"GEN"
3,"COM","USA",86,102,"GEN"
4,"GAN","USA",75,114,"GEN"
3,"COM","USA",85,92,"GEN"
3,"GAN","USA",42,80,"GEN"
3,"COM","USA",55,138,"GEN"
3,"GAN","USA",89,94,"TUT"
2,"COM","USA",87,107,"GEN"
2,"GIA","USA",93,103,"ADU"
2,"DRA","USA",93,98,"GEN"
2,"GIA","USA",78,112,"GEN"
3,"COM","USA",49,105,"GEN"
3,"GIA","USA",81,113,"ADU"
3,"DRA","USA",59,159,"ADU"
2,"AZI","USA",92,118,"ADU"
2,"COM","USA",87,105,"ADU"
2,"GIA","USA",88,91,"GEN"
2,"DRA","USA",93,116,"ADU"
2,"AZI","USA",92,98,"GEN"
2,"DRA","USA",94,90,"ADU"
2,"GIA","USA",59,80,"GEN"
2,"COM","USA",63,108,"GEN"
2,"AZI","USA",89,85,"ADU"
2,"DRA","USA",91,90,"ADU"
2,"GIA","USA",72,105,"GEN"
2,"COM","USA",83,102,"GEN"
2,"AZI","USA",91,95,"TUT"
1,"COM","USA",86,88,"GEN"
3,"GIA","USA",91,90,"GEN"
2,"DRA","USA",90,122,"GEN"
2,"GIA","USA",91,97,"ADU"
3,"DRA","USA",91,100,"ADU"
1,"GIA","USA",88,91,"ADU"
3,"DRA","USA",93,121,"ADU"
3,"GIA","USA",92,140,"GEN"
3,"COM","USA",70,129,"GEN"
2,"GIA","USA",65,74,"GEN"
2,"DRA","USA",79,117,"ADU"
3,"GIA","USA",47,113,"GEN"
2,"DRA","USA",33,123,"GEN"
2,"GIA","USA",85,108,"GEN"
2,"DRA","USA",57,99,"ADU"
4,"GIA","USA",57,114,"TUT"
2,"COM","USA",91,98,"TUT"
2,"AZI","USA",90,91,"GEN"
2,"DRA","USA",92,100,"GEN"
2,"GRO","USA",85,86,"ADU"
3,"DRA","USA",83,120,"TUT"
2,"HOR","USA",87,89,"ADU"
4,"COM","USA",77,94,"ADU"
3,"HOR","USA",82,118,"ADU"
4,"DRA","USA",74,123,"ADU"
2,"HOR","USA",91,102,"ADU"
3,"COM","USA",58,120,"GEN"
4,"HOR","USA",73,130,"GEN"
2,"DRA","USA",57,99,"GEN"
2,"HOR","USA",76,111,"ADU"
3,"DRA","USA",89,103,"ADU"
2,"HOR","USA",93,114,"ADU"
2,"DRA","USA",94,93,"ADU"
2,"AZI","USA",90,105,"GEN"
3,"DRA","USA",61,124,"ADU"
1,"AZI","USA",86,89,"ADU"
2,"CMC","USA",92,92,"GEN"
2,"AVV","USA",84,94,"ADU"
2,"CMC","USA",81,92,"TUT"
2,"HOR","USA",81,91,"ADU"
1,"CMC","USA",93,80,"GEN"
2,"HOR","USA",89,100,"ADU"
3,"DRA","USA",92,122,"GEN"
1,"HOR","USA",85,96,"ADU"
3,"DRA","USA",63,117,"GEN"
1,"HOR","USA",89,104,"ADU"
3,"DRA","USA",86,100,"GEN"
2,"AVV","USA",85,105,"TUT"
2,"DRA","USA",76,111,"ADU"
2,"HOR","USA",70,114,"ADU"
2,"BIO","USA",52,82,"TUT"
2,"AVV","USA",90,112,"GEN"
2,"DRA","USA",50,98,"GEN"
2,"MUS","USA",64,128,"TUT"
4,"BEL","USA",87,110,"ADU"
4,"MUS","USA",65,101,"TUT"
3,"BEL","USA",49,118,"GEN"
2,"MUS","USA",52,115,"TUT"
3,"DRA","USA",87,144,"GEN"
2,"MUS","USA",91,104,"GEN"
3,"DRA","USA",83,120,"GEN"
3,"AVV","USA",80,105,"GEN"
2,"DRA","USA",34,81,"TUT"
1,"POL","USA",86,83,"ADU"
1,"DRA","USA",87,100,"ADU"
4,"POL","USA",46,105,"ADU"
3,"DRA","USA",93,112,"GEN"
2,"POL","USA",82,110,"GEN"
2,"DRA","USA",50,90,"GEN"
3,"POL","USA",49,71,"GEN"
3,"DRA","USA",41,106,"GEN"
2,"POL","USA",89,97,"GEN"
3,"DRA","USA",66,123,"GEN"
1,"POL","USA",94,91,"ADU"
3,"DRA","USA",40,93,"GEN"
3,"POL","USA",81,165,"ADU"
2,"DRA","USA",59,115,"GEN"
3,"POL","USA",68,113,"GEN"
2,"COM","USA",52,85,"ADU"
2,"AVV","USA",53,79,"GEN"
2,"COM","USA",64,101,"TUT"
4,"POL","USA",87,119,"ADU"
